Audi Cantrell,24.826,36.733,PART TIME
Deonne Harbertson,28.804,32.087,PART TIME
Georgette Mendus,19.502,32.632,CONTRACT
Eimile Springtorpe,39.43,8.267,PART TIME
Holly Mattusov,32.919,7.14,FULL TIME
Torrey Begin,32.331,3.336,FULL TIME
Jennifer Thunders,25.794,4.197,CONTRACT
Edmon Pizzey,37.405,5.968,FULL TIME
Luis Fenix,17.961,16.684,CONTRACT
Sheeree Dust,26.442,21.398,PART TIME
Malynda Loffel,24.471,4.045,CONTRACT
Gisele English,16.14,1.445,PART TIME
Sandro Dayer,25.515,16.958,CONTRACT
Dollie Pes,34.124,34.538,FULL TIME
Jeanelle Tynnan,19.609,7.738,PART TIME
Hamel Armstead,27.904,14.526,FULL TIME
Kennie Thacke,23.097,39.286,PART TIME
Valma Aisman,31.036,7.561,FULL TIME
Porter Wrack,28.817,27.067,CONTRACT
Billie Marder,22.687,34.636,CONTRACT
Corinne Pomery,15.14,6.333,CONTRACT
Maximilian Paolone,36.168,11.224,PART TIME
Alysia Muckersie,18.795,3.897,FULL TIME
Adrienne Learmount,38.988,5.743,FULL TIME
Thorpe Rollinson,21.955,28.189,PART TIME
Valerie Shone,22.932,28.511,PART TIME
Ciel Mattheissen,32.72,29.066,CONTRACT
Gale Cottem,22.737,19.915,PART TIME
Maryl Ballinger,34.067,13.104,CONTRACT
Amalee Beardow,29.731,31.735,FULL TIME
Lucilia Gillebert,36.379,36.528,PART TIME
Neila Crust,26.035,9.065,CONTRACT
Shari Skade,22.323,35.681,PART TIME
Faye Le Conte,23.066,4.363,CONTRACT
Monique Normansell,23.682,18.099,FULL TIME
Glendon O'Donnell,18.961,18.714,PART TIME
Darwin Garken,39.87,21.238,FULL TIME
Cordi Bellows,39.535,5.436,CONTRACT
Lurette Clowney,32.061,13.555,PART TIME
Bekki Stampfer,29.084,32.94,FULL TIME
Aubine Lingfoot,39.23,32.098,PART TIME
Bentley Danev,31.422,7.714,PART TIME
Barton Jenner,17.387,13.618,FULL TIME
Allen Flemmich,16.628,11.228,FULL TIME
Leanora Wistance,29.989,13.858,CONTRACT
Kyle Nurse,34.803,1.023,CONTRACT
Korella Sinkin,25.352,18.794,PART TIME
Kevyn Shark,20.612,33.783,PART TIME
Marilin Ledekker,22.479,30.787,PART TIME
Osborn Mulkerrins,34.417,26.524,CONTRACT
Norton Rhymes,32.251,25.583,PART TIME
Marika Bein,33.404,0.792,CONTRACT
Rhetta Haxbie,20.519,14.358,PART TIME
Madella Rafe,28.806,8.886,FULL TIME
Beau Horney,21.818,16.601,PART TIME
Grace Pountney,35.016,21.612,PART TIME
Jessa Lively,22.112,4.888,CONTRACT
Dag Hemstead,36.569,0.133,FULL TIME
Berny Dysert,38.721,25.175,FULL TIME
Johna Pook,29.583,36.604,CONTRACT
Merry Readwin,30.003,2.697,FULL TIME
Drucy Agass,26.488,15.488,FULL TIME
Wilmar Younglove,22.238,35.86,CONTRACT
Bendick Haining,16.845,0.632,CONTRACT
Aarika Brookson,31.481,1.871,CONTRACT
Evangelia Entreis,32.757,11.343,CONTRACT
Katey Oldred,22.553,21.26,FULL TIME
Jessika Blay,30.567,4.548,FULL TIME
Fay Schuelcke,21.567,9.41,CONTRACT
Tine Hagard,23.908,0.838,PART TIME
